Length	Freq
1	44
2	143
3	1298
4	4885
5	9719
6	16948
7	22910
8	28962
9	31414
10	30132
11	25500
12	20137
13	14754
14	9675
15	5890
16	3360
17	1806
18	835
19	426
20	198
21	81
22	40
23	17
24	5
28	1
